image_file,zone,color,image_id,class_id,class_name,defect_type_code,severity,conf,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_w_norm,bbox_h_norm,area_norm
bumper_black_000877.jpg,bumper,black,000877,,,,,,,,,,,,
bumper_black_000889.jpg,bumper,black,000889,1.0,dent,DNT,MAJOR,0.9455,0.343,0.7467,0.4216,0.8881,0.0785,0.1414,0.011102
bumper_black_000995.jpg,bumper,black,000995,0.0,scratch,SCR,MINOR,0.8974,0.6131,0.5425,0.6877,0.6018,0.0746,0.0593,0.004425
bumper_black_000995.jpg,bumper,black,000995,7.0,gap_fault,GAP,CRITICAL,0.338,0.0403,0.7151,0.7846,0.7616,0.7443,0.0465,0.034627
bumper_black_000995.jpg,bumper,black,000995,7.0,gap_fault,GAP,CRITICAL,0.3093,0.318,0.7166,1.0,0.7605,0.682,0.0438,0.029897
bumper_black_000995.jpg,bumper,black,000995,7.0,gap_fault,GAP,CRITICAL,0.2817,0.1907,0.7163,0.9342,0.7618,0.7435,0.0455,0.033831
bumper_blue_000880.jpg,bumper,blue,000880,4.0,dust,DST,MINOR,0.8526,0.8847,0.3155,0.9136,0.3944,0.029,0.0789,0.002285
bumper_blue_000907.jpg,bumper,blue,000907,,,,,,,,,,,,
bumper_blue_000941.jpg,bumper,blue,000941,4.0,dust,DST,MINOR,0.894,0.22,0.3282,0.2608,0.413,0.0408,0.0848,0.003461
bumper_blue_000941.jpg,bumper,blue,000941,4.0,dust,DST,MINOR,0.8575,0.601,0.1968,0.6346,0.2851,0.0336,0.0883,0.002964
bumper_blue_000950.jpg,bumper,blue,000950,0.0,scratch,SCR,MINOR,0.7666,0.7197,0.6557,0.7948,0.6876,0.0751,0.0319,0.002395
bumper_blue_000991.jpg,bumper,blue,000991,0.0,scratch,SCR,MINOR,0.9005,0.6988,0.2898,0.7745,0.3774,0.0757,0.0876,0.00663
bumper_bronze_000810.jpg,bumper,bronze,000810,1.0,dent,DNT,MAJOR,0.9504,0.5903,0.5823,0.6568,0.7018,0.0665,0.1195,0.007947
bumper_bronze_000810.jpg,bumper,bronze,000810,6.0,crack,CRK,CRITICAL,0.8712,0.8369,0.1474,0.9795,0.236,0.1426,0.0886,0.012635
bumper_bronze_000828.jpg,bumper,bronze,000828,,,,,,,,,,,,
bumper_gray_000829.jpg,bumper,gray,000829,4.0,dust,DST,MINOR,0.8676,0.287,0.7829,0.3319,0.8478,0.045,0.0649,0.002919
bumper_gray_000896.jpg,bumper,gray,000896,1.0,dent,DNT,MAJOR,0.8757,0.1969,0.2387,0.2477,0.331,0.0509,0.0923,0.004694
bumper_gray_000916.jpg,bumper,gray,000916,,,,,,,,,,,,
bumper_gray_000921.jpg,bumper,gray,000921,0.0,scratch,SCR,MINOR,0.9051,0.7,0.227,0.7944,0.3322,0.0944,0.1053,0.009933
bumper_green_000822.jpg,bumper,green,000822,0.0,scratch,SCR,MINOR,0.8908,0.8012,0.7197,0.9939,0.8036,0.1928,0.0839,0.016172
bumper_green_000822.jpg,bumper,green,000822,7.0,gap_fault,GAP,CRITICAL,0.4907,0.3666,0.1343,0.3868,0.7982,0.0202,0.6639,0.013396
bumper_green_000970.jpg,bumper,green,000970,1.0,dent,DNT,MAJOR,0.8995,0.8754,0.4383,0.9245,0.5262,0.0491,0.088,0.004319
